name,r,g,b,id
Animal,64,128,64,0
Archway,192,0,128,1
Bicyclist,0,128,192,2
Bridge,0,128,64,3
Building,128,0,0,4
Car,64,0,128,5
CartLuggagePram,64,0,192,6
Child,192,128,64,7
Column_Pole,192,192,128,8
Fence,64,64,128,9
LaneMkgsDriv,128,0,192,10
LaneMkgsNonDriv,192,0,64,11
Misc_Text,128,128,64,12
MotorcycleScooter,192,0,192,13
OtherMoving,128,64,64,14
ParkingBlock,64,192,128,15
Pedestrian,64,64,0,16
Road,128,64,128,17
RoadShoulder,128,128,192,18
Sidewalk,0,0,192,19
SignSymbol,192,128,128,20
Sky,128,128,128,21
SUVPickupTruck,64,128,192,22
TrafficCone,0,0,64,23
TrafficLight,0,64,64,24
Train,192,64,128,25
Tree,128,128,0,26
Truck_Bus,192,128,192,27
Tunnel,64,0,64,28
VegetationMisc,192,192,0,29
Void,0,0,0,30
Wall,64,192,0,31
